name,type,full_text,url,source
Merciful Scimitar,Combat,"You can deal <a target=""_top"" href=""http://www.d20pfsrd.com/gamemastering/combat#TOC-Nonlethal-Damage"">nonlethal damage</a> with a <a target=""_top"" href=""http://www.d20pfsrd.com/equipment/weapons/weapon-descriptions/scimitar"">scimitar</a> without taking a penalty on your <a target=""_top"" href=""http://www.d20pfsrd.com/gamemastering/combat#TOC-Attack-Roll"">attack rolls</a>.",http://www.d20pfsrd.com/traits/combat-traits/merciful-scimitar-combat/,WMH
Monk Weapon Skill,Combat,"You gain a +1 <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/glossary#TOC-Trait-Bonus"">trait bonus</a> on damage rolls with this weapon.",http://www.d20pfsrd.com/traits/combat-traits/monk-weapon-skill-combat/,WMH
Muscle of the Society,Combat,"You gain a +2 <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/glossary#TOC-Trait-Bonus"">trait bonus</a> on <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/ability-scores#TOC-Strength-Str-"">Strength</a> checks made to break doors and lift portcullises, and you treat your <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/ability-scores#TOC-Strength-Str-"">Strength</a> score as 2 higher for the purpose of determining your carrying capacity.",http://www.d20pfsrd.com/traits/combat-traits/muscle-of-the-society/,PSP
Natural Flyer,Combat,"You gain a +1 <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/glossary#TOC-Trait-Bonus"">trait bonus</a> on <a target=""_top"" href=""http://www.d20pfsrd.com/skills/fly"">Fly</a> checks, as well as <a target=""_top"" href=""http://www.d20pfsrd.com/skills/acrobatics"">Acrobatics</a> checks attempted while flying. <a target=""_top"" href=""http://www.d20pfsrd.com/skills/fly"">Fly</a> is always a class skill for you.",http://www.d20pfsrd.com/traits/combat-traits/natural-flyer-combat-trait/,BAN
Nature's Mimic,Combat,"You gain a +1 <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/glossary#TOC-Trait-Bonus"">trait bonus</a> on all <a target=""_top"" href=""http://www.d20pfsrd.com/skills/knowledge"">Knowledge</a> (nature) checks, and <a target=""_top"" href=""http://www.d20pfsrd.com/skills/knowledge"">Knowledge</a> (nature) is always a class skill for you. You can make <a target=""_top"" href=""http://www.d20pfsrd.com/skills/knowledge"">Knowledge</a> (nature) checks pertaining to <a target=""_top"" href=""http://www.d20pfsrd.com/bestiary/rules-for-monsters/creature-types#TOC-Animal"">animals</a> that correspond to your <a target=""_top"" href=""http://www.d20pfsrd.com/feats/style-feats%22"">style feats</a> untrained.",http://www.d20pfsrd.com/traits/combat-traits/nature-s-mimic/,ULC
Never Stop Shooting,Combat,"If your hit point total drops to 0 or lower but you are not <a target=""_top"" href=""http://www.d20pfsrd.com/gamemastering/conditions#TOC-Dead"">dead</a>, you may act as if <a target=""_top"" href=""http://www.d20pfsrd.com/gamemastering/conditions#TOC-Disabled"">disabled</a> rather than <a target=""_top"" href=""http://www.d20pfsrd.com/gamemastering/conditions#TOC-Dying"">dying</a> (as if you possessed the <a target=""_top"" href=""http://www.d20pfsrd.com/feats/general-feats/diehard-final"">Diehard</a> feat). However, you can use your actions only to draw a <a target=""_top"" href=""http://www.d20pfsrd.com/equipment/weapons/firearms"">firearm</a>, reload a <a target=""_top"" href=""http://www.d20pfsrd.com/equipment/weapons/firearms"">firearm</a>, or attack with a <a target=""_top"" href=""http://www.d20pfsrd.com/equipment/weapons/firearms"">firearm</a>. If you have the <a target=""_top"" href=""http://www.d20pfsrd.com/feats/general-feats/diehard-final"">Diehard</a> feat, this trait also allows you to substitute your <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/ability-scores#TOC-Wisdom-Wis-"">Wisdom</a> score for your <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/ability-scores#TOC-Constitution-Con-"">Constitution</a> score for the purpose of determining the negative hit point total at which you die.",http://www.d20pfsrd.com/traits/combat-traits/never-stop-shooting/,ULC
No Escape,Combat,"You gain a +1 <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/glossary#TOC-Trait-Bonus"">trait bonus</a> on <a target=""_top"" href=""http://www.d20pfsrd.com/gamemastering/combat#TOC-Combat-Maneuvers"">combat maneuver</a> checks to lawfully and nonlethally restrain a creature you've witnessed commit a crime.",http://www.d20pfsrd.com/traits/combat-traits/no-escape-combat/,COB
Ogre Avoidance,Combat,"You gain a +2 <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/glossary#TOC-Trait-Bonus"">trait bonus</a> to <a target=""_top"" href=""http://www.d20pfsrd.com/gamemastering/combat#TOC-Combat-Maneuver-Defense"">CMD</a> against <a target=""_top"" href=""http://www.d20pfsrd.com/gamemastering/combat#TOC-Bull-Rush"">bull rush</a> and <a target=""_top"" href=""http://www.d20pfsrd.com/gamemastering/combat#TOC-Grapple"">grapple</a> <a target=""_top"" href=""http://www.d20pfsrd.com/gamemastering/combat#TOC-Combat-Maneuvers"">combat maneuvers</a>.",http://www.d20pfsrd.com/traits/combat-traits/ogre-avoidance-combat/,POW
Performer's Surprise,Combat,"Against foes denied their <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/ability-scores#TOC-Dexterity-Dex-"">Dexterity</a> bonus to AC, you gain a +1 <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/glossary#TOC-Trait-Bonus"">trait bonus</a> on damage rolls with improvised weapons, exotic weapons, and thrown weapons.",http://www.d20pfsrd.com/traits/combat-traits/performer-s-surprise-combat/,WMH
Pillager,Combat,"You gain a +1 <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/glossary#TOC-Trait-Bonus"">trait bonus</a> on <a target=""_top"" href=""http://www.d20pfsrd.com/gamemastering/combat#TOC-Combat-Maneuvers"">combat maneuver</a> checks to perform <a target=""_top"" href=""http://www.d20pfsrd.com/gamemastering/combat#TOC-Disarm"">disarm</a> and <a target=""_top"" href=""http://www.d20pfsrd.com/gamemastering/combat#TOC-Steal"">steal</a> <a target=""_top"" href=""http://www.d20pfsrd.com/gamemastering/combat#TOC-Combat-Maneuvers"">combat maneuvers</a>.",http://www.d20pfsrd.com/traits/combat-traits/pillager/,QAC
Punish Insurrection,Combat,"Against members of the same organization or hierarchy who formally answer to you, you gain a +1 <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/glossary#TOC-Trait-Bonus"">trait bonus</a> on attack and damage rolls. You also gain this bonus against members who have openly defied the authority or rules of that body, provided the infraction is serious enough that their standing is now less than yours.",http://www.d20pfsrd.com/traits/combat-traits/punish-insurrection-combat/,COC
Reactionary,Combat,"You gain a +2 <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/glossary#TOC-Trait-Bonus"">trait bonus</a> on <a target=""_top"" href=""http://www.d20pfsrd.com/gamemastering/combat#TOC-Initiative"">initiative</a> checks.",http://www.d20pfsrd.com/traits/combat-traits/reactionary/,ULC
Reckless,Combat,"You gain a +1 bonus on <a target=""_top"" href=""http://www.d20pfsrd.com/skills/acrobatics"">Acrobatics</a> checks, and <a target=""_top"" href=""http://www.d20pfsrd.com/skills/acrobatics"">Acrobatics</a> is always a class skill for you.",http://www.d20pfsrd.com/traits/combat-traits/reckless/,ULC
Reckless Contempt,Combat,"Whenever you provoke an <a target=""_top"" href=""http://www.d20pfsrd.com/gamemastering/combat#TOC-Attacks-of-Opportunity"">attack of opportunity</a> by firing a <a target=""_top"" href=""http://www.d20pfsrd.com/equipment/weapons/firearms"">firearm</a>, you gain a +1 <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/glossary#TOC-Trait-Bonus"">trait bonus</a> on the <a target=""_top"" href=""http://www.d20pfsrd.com/gamemastering/combat#TOC-Attack-Roll"">attack roll</a> that provoked the <a target=""_top"" href=""http://www.d20pfsrd.com/gamemastering/combat#TOC-Attacks-of-Opportunity"">attack of opportunity</a>.",http://www.d20pfsrd.com/traits/combat-traits/reckless-contempt/,ULC
Resilient,Combat,"You gain a +1 <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/glossary#TOC-Trait-Bonus"">trait bonus</a> on <a target=""_top"" href=""http://www.d20pfsrd.com/gamemastering/combat#TOC-Fortitude"">Fortitude</a> saves.",http://www.d20pfsrd.com/traits/combat-traits/resilient/,ULC
Resolve of the Rejected,Combat,"You gain a +1 <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/glossary#TOC-Trait-Bonus"">trait bonus</a> on all saving throws against <a target=""_top"" href=""http://www.d20pfsrd.com/gamemastering/special-abilities#TOC-Charm-and-Compulsion"">charm and compulsion</a> effects. Also, once per day when you succeed at a saving throw against such an effect, you regain 1 <a target=""_top"" href=""http://www.d20pfsrd.com/classes/base-classes/gunslinger#TOC-Grit-Ex-"">grit point</a>.",http://www.d20pfsrd.com/traits/combat-traits/resolve-of-the-rejected/,ULC
River Fighter,Combat,"You may swim downstream or cross-current as a <a target=""_top"" href=""http://www.d20pfsrd.com/gamemastering/combat#TOC-Charge"">charge</a> if you make your <a target=""_top"" href=""http://www.d20pfsrd.com/skills/swim"">Swim</a> DC by 5 or more.",http://www.d20pfsrd.com/traits/combat-traits/river-fighter/,SLC
Roving Range,Combat,Increase the range increment of ranged weapons (but not thrown weapons) you wield by 5 feet.,http://www.d20pfsrd.com/traits/combat-traits/roving-range-combat/,WMH
Savanna Hunter,Combat,"You gain a +1 trait bonus on attacks of opportunity attack rolls made with a shortspear, as well as a +1 <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/glossary#TOC-Racial-Bonus"">racial bonus</a> on <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/ability-scores#TOC-Constitution-Con-"">Constitution</a> checks to continue running and avoid <a target=""_top"" href=""http://www.d20pfsrd.com/gamemastering/combat#TOC-Nonlethal-Damage"">nonlethal damage</a> from a forced march.",http://www.d20pfsrd.com/traits/combat-traits/savanna-hunter/,SLC
Scarred by Space Pirates,Combat,"You gain a +1 <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/glossary#TOC-Trait-Bonus"">trait bonus</a> on <a target=""_top"" href=""http://www.d20pfsrd.com/gamemastering/combat#TOC-Attack-Roll"">attack rolls</a> against <a target=""_top"" href=""http://www.d20pfsrd.com/bestiary/rules-for-monsters/creature-types#TOC-Humanoid"">humanoids</a>.",http://www.d20pfsrd.com/traits/combat-traits/scarred-by-space-pirates/,PST
Scarred Descendant,Combat,"You gain a +1 <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/glossary#TOC-Trait-Bonus"">trait bonus</a> on rolls to confirm critical hits against <a target=""_top"" href=""http://www.d20pfsrd.com/classes/core-classes/ranger#TOC-Favored-Enemy-Ex-"">favored enemies</a> of your own subtype and on <a target=""_top"" href=""http://www.d20pfsrd.com/skills/survival"">Survival</a> checks made to track such creatures.",http://www.d20pfsrd.com/traits/combat-traits/scarred-descendant/,ULC
Slippery (Flower Network),Combat,You gain a +1 trait bonus on Stealth checks and Stealth is a class skill for you.,http://www.d20pfsrd.com/traits/combat-traits/slippery-bellflower-network/,PFG
Soaring Sprinter,Combat,"You gain a +2 <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/glossary#TOC-Trait-Bonus"">trait bonus</a> on <a target=""_top"" href=""http://www.d20pfsrd.com/skills/acrobatics"">Acrobatics</a> checks to keep your balance or jump, and <a target=""_top"" href=""http://www.d20pfsrd.com/skills/acrobatics"">Acrobatics</a> becomes a class skill for you.",http://www.d20pfsrd.com/traits/combat-traits/soaring-sprinter/,QAC
Sprint (Gnome),Combat,"If you do nothing but move in a turn (that is, if you run or use both of your actions in a round to move your speed) and you are in no armor or light <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/glossary#TOC-Armor-Bonus"">armor</a>, you may move an extra 5 feet.",http://www.d20pfsrd.com/traits/combat-traits/sprint-gnome/,GOG
Startling Report,Combat,"When you shoot a <a target=""_top"" href=""http://www.d20pfsrd.com/equipment/weapons/firearms"">firearm</a>, you gain a +2 <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/glossary#TOC-Trait-Bonus"">trait bonus</a> on <a target=""_top"" href=""http://www.d20pfsrd.com/skills/intimidate"">Intimidate</a> checks for 1 round against those who heard the shot.",http://www.d20pfsrd.com/traits/combat-traits/startling-report/,ULC
Steel Skin,Combat,"You gain the ability to don or remove heavy armor in half the normal time. Additionally, you begin play with a great helm bearing the iconography of your family (this helm grants no special defensive benefits). While wearing this helm with a suit of heavy <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/glossary#TOC-Armor-Bonus"">armor</a>, you gain a +2 <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/glossary#TOC-Trait-Bonus"">trait bonus</a> on <a target=""_top"" href=""http://www.d20pfsrd.com/skills/intimidate"">Intimidate</a> checks.",http://www.d20pfsrd.com/traits/combat-traits/steel-skin/,KIS
"Strong Arm, Supple Wrist",Combat,"Whenever you move at least 10 feet before making an attack with a thrown weapon, you add 10 feet to the range increment of the weapon thrown. Restriction: You can only gain this benefit once per round.",http://www.d20pfsrd.com/traits/combat-traits/strong-arm-supple-wrist/,QGE
Surprise Weapon,Combat,"You gain a +2 <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/glossary#TOC-Trait-Bonus"">trait bonus</a> on <a target=""_top"" href=""http://www.d20pfsrd.com/gamemastering/combat#TOC-Attack-Roll"">attack rolls</a> with <a target=""_top"" href=""http://www.d20pfsrd.com/equipment/weapons#TOC-Improvised-Weapons"">improvised weapons</a>.",http://www.d20pfsrd.com/traits/combat-traits/surprise-weapon/,ULC
Sworn Enemy,Combat,"Choose a foe from the <a target=""_top"" href=""http://www.d20pfsrd.com/classes/core-classes/ranger"">ranger's</a> list of <a target=""_top"" href=""http://www.d20pfsrd.com/classes/core-classes/ranger#TOC-Favored-Enemy-Ex-"">favored enemies</a>. You gain a +1 <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/glossary#TOC-Trait-Bonus"">trait bonus</a> on <a target=""_top"" href=""http://www.d20pfsrd.com/gamemastering/combat#TOC-Attacks-of-Opportunity"">attacks of opportunity</a> against the chosen foe.",http://www.d20pfsrd.com/traits/combat-traits/sworn-enemy/,QAC
Tactician,Combat,"You gain a +1 <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/glossary#TOC-Trait-Bonus"">trait bonus</a> on <a target=""_top"" href=""http://www.d20pfsrd.com/gamemastering/combat#TOC-Initiative"">initiative</a> checks. In addition, once per day when you make an <a target=""_top"" href=""http://www.d20pfsrd.com/gamemastering/combat#TOC-Attacks-of-Opportunity"">attack of opportunity</a>, you gain a +2 <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/glossary#TOC-Trait-Bonus"">trait bonus</a> on the <a target=""_top"" href=""http://www.d20pfsrd.com/gamemastering/combat#TOC-Attack-Roll"">attack roll</a>.",http://www.d20pfsrd.com/traits/combat-traits/tactician/,ULC
Threatening Defender,Combat,"When you use <a target=""_top"" href=""http://www.d20pfsrd.com/feats/combat-feats/combat-expertise-combat"">Combat Expertise</a>, reduce the number you subtract from your melee attack rolls by 1.",http://www.d20pfsrd.com/traits/combat-traits/threatening-defender/,CED
Thunder and Fang Performer,Combat,"You gain a +2 <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/glossary#TOC-Trait-Bonus"">trait bonus</a> on <a target=""_top"" href=""http://www.d20pfsrd.com/skills/intimidate"">Intimidate</a> checks while wielding a two-handed melee weapon.",http://www.d20pfsrd.com/traits/combat-traits/thunder-and-fang-performer-combat/,WMH
"Tracker of the Society (Ranger, Society)",Combat,You gain a +1 trait bonus on Initiative checks and a +2 trait bonus on Survival skill checks made while traveling through any of your favored terrains. This is in addition to any bonuses you receive from your Favored Terrain class ability.,http://www.d20pfsrd.com/traits/combat-traits/tracker-of-the-society-ranger-pathfinder-society/,PFG
Unblemished Barrel,Combat,"You gain a +1 <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/glossary#TOC-Trait-Bonus"">trait bonus</a> on <a target=""_top"" href=""http://www.d20pfsrd.com/skills/craft"">Craft</a> (alchemy) and <a target=""_top"" href=""http://www.d20pfsrd.com/skills/craft"">Craft</a> (weapons) checks, and it takes you only 30 minutes to remove the <a target=""_top"" href=""http://www.d20pfsrd.com/gamemastering/conditions#TOC-Broken"">broken</a> condition from a <a target=""_top"" href=""http://www.d20pfsrd.com/equipment/weapons/firearms"">firearm</a>.",http://www.d20pfsrd.com/traits/combat-traits/unblemished-barrel/,ULC
Undergrowth Specialist,Combat,"The DCs of <a target=""_top"" href=""http://www.d20pfsrd.com/skills/acrobatics"">Acrobatics</a> checks don’t increase for you when you’re moving through light undergrowth, and the DCs of <a target=""_top"" href=""http://www.d20pfsrd.com/skills/acrobatics"">Acrobatics</a> checks you attempt while you’re moving through heavy undergrowth increase only by 2.",http://www.d20pfsrd.com/traits/combat-traits/undergrowth-specialist-combat/,POW
Unpredictable Reactions,Combat,"You gain a +1 <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/glossary#TOC-Trait-Bonus"">trait bonus</a> on <a target=""_top"" href=""http://www.d20pfsrd.com/gamemastering/combat#TOC-Attack-Roll"">attack rolls</a> made during the <a target=""_top"" href=""http://www.d20pfsrd.com/gamemastering/combat#TOC-Surprise"">surprise</a> round of combat.",http://www.d20pfsrd.com/traits/combat-traits/unpredictable-reactions-combat/,COB
Vandal,Combat,"You gain a +2 bonus on <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/ability-scores#TOC-Strength-Str-"">Strength</a> checks to break objects, and when damaging an object with a weapon, <a target=""_top"" href=""http://www.d20pfsrd.com/bestiary/rules-for-monsters/universal-monster-rules#TOC-Natural-Attacks"">natural weapon</a>, or unarmed attack, you ignore 2 points of its <a target=""_top"" href=""http://www.d20pfsrd.com/equipment/damaging-objects#TOC-Hardness"">hardness</a>.",http://www.d20pfsrd.com/traits/combat-traits/vandal-combat/,HOW
Vengeful,Combat,"Whenever you strike the last creature that damaged you in the past 24 hours, you gain a +1 <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/glossary#TOC-Trait-Bonus"">trait bonus</a> on damage rolls against that creature.",http://www.d20pfsrd.com/traits/combat-traits/vengeful/,QAC
Venom Resistance (Combat),Combat,"You gain a +2 <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/glossary#TOC-Trait-Bonus"">trait bonus</a> on <a target=""_top"" href=""http://www.d20pfsrd.com/gamemastering/combat#TOC-Fortitude"">Fortitude</a> saving throws against <a target=""_top"" href=""http://www.d20pfsrd.com/gamemastering/afflictions/poison"">poison</a>, and once per day when attempting a saving throw to resist <a target=""_top"" href=""http://www.d20pfsrd.com/bestiary/monster-listings/monstrous-humanoids/girtablilu/"">girtablilu</a> <a target=""_top"" href=""http://www.d20pfsrd.com/gamemastering/afflictions/poison"">poison</a>, you can roll twice and take the higher result.",http://www.d20pfsrd.com/traits/combat-traits/venom-resistance-combat/,POW
Veteran of the Seas,Combat,"You gain +1 bonus on <a target=""_top"" href=""http://www.d20pfsrd.com/skills/profession"">Profession</a> (sailor) checks, and <a target=""_top"" href=""http://www.d20pfsrd.com/skills/profession"">Profession</a> (sailor) is a class skill for you. You also gain a +1 <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/glossary#TOC-Trait-Bonus"">trait bonus</a> on weapon damage rolls against creatures with the <a target=""_top"" href=""http://www.d20pfsrd.com/bestiary/rules-for-monsters/creature-types#TOC-Aquatic"">aquatic</a> subtype.",http://www.d20pfsrd.com/traits/combat-traits/veteran-of-the-seas-combat/,MRM
Vigilant Battler,Combat,"You gain a +1 <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/glossary#TOC-Trait-Bonus"">trait bonus</a> on all <a target=""_top"" href=""http://www.d20pfsrd.com/skills/sense-motive"">Sense Motive</a> checks. This <a target=""_top"" href=""http://www.d20pfsrd.com/basics-ability-scores/glossary#TOC-Trait-Bonus"">trait bonus</a> increases to +2 when used to counter a <a target=""_top"" href=""http://www.d20pfsrd.com/gamemastering/combat#TOC-Feint"">feint</a> in combat.",http://www.d20pfsrd.com/traits/combat-traits/vigilant-battler/,ULC
Volatile Fuse,Combat,"Whenever a <a target=""_top"" href=""http://www.d20pfsrd.com/equipment/firearms"">firearm</a> you wield misfires or explodes, roll a d%. On a result of 1–25, the misfire or explosion is delayed; reroll the attack with a –5 penalty (penalties from the <a target=""_top"" href=""http://www.d20pfsrd.com/gamemastering/conditions#TOC-Broken"">broken</a> condition are not applied to this reroll, and a firearm that was already <a target=""_top"" href=""http://www.d20pfsrd.com/gamemastering/conditions#TOC-Broken"">broken</a> does not explode). After the reroll is resolved, apply the effects of the misfire or explosion as normal. (If the d% roll result is 26 or higher, the misfire or explosion happens as normal.) Whenever a firearm you wield explodes due to a misfire, increase the explosion’s damage by 1d6 plus 1d6 for every 4 character levels you have.",http://www.d20pfsrd.com/traits/combat-traits/volatile-fuse-combat/,POW
Weapon of Peace,Combat,"When using a melee weapon that deals lethal damage to instead deal <a target=""_top"" href=""http://www.d20pfsrd.com/gamemastering/combat#TOC-Nonlethal-Damage"">nonlethal damage</a>, you take only a –2 attack penalty instead of –4.",http://www.d20pfsrd.com/traits/combat-traits/weapon-of-peace-combat/,COP
Witty Repartee,Combat,You gain a +1 trait bonus on Bluff checks and Bluff is a class skill for you.,http://www.d20pfsrd.com/traits/combat-traits/witty-repartee-kitharodian-academy/,PFG
Augmented Disguise,Equipment,"You gain a +2 trait bonus on Disguise checks when wearing a wig, false beard, or similar large prop, or if you are wearing a special costume or eye-catching bauble that reinforces your disguise.",http://www.d20pfsrd.com/traits/equipment-traits/augmented-disguise/,AAR
Dealmaker,Equipment,"Once per week, when looking for an item with a price greater than the local community’s base value (see page 461 of the Pathfinder RPG Core Rulebook), make a DC 10 Diplomacy check; add 10 to the DC for each community size category between the current community and the community size with a base value sufficient for that item. Success means (with GM approval) you’re able to sell or purchase that item as if the local community were of sufficient size. Each additional attempt (successful or otherwise) in that community increases the DC by an additional +10. Example: If you’re trying to find a +1 cloak of resistance (1,000 gp), you’d normally need to be in a small town (base value 1,000 gp) or larger to be able to find that item with little trouble. If you’re currently in a hamlet, that’s two community sizes away from a small town, so the Diplomacy DC is 30. If you went to a village and asked there, the DC would only be 20 because it’s only one community size away from a small town.",http://www.d20pfsrd.com/traits/equipment-traits/dealmaker/,AAR
Extremely Fashionable,Equipment,"Whenever you are wearing clothing and/or jewelry worth at least 150 gp (and not otherwise covered in gore, sewage, or other things that mar your overall look), you gain a +1 trait bonus on Bluff, Diplomacy, and Intimidate checks. One of these skills (your choice) is a class skill for you.",http://www.d20pfsrd.com/traits/equipment-traits/extremely-fashionable/,AAR
Heirloom Weapon,Equipment,"When you select this trait, choose one of the following benefits: <ul> <li>proficiency with that specific weapon</li> <li>a +1 trait bonus on attacks of opportunity with that specific weapon</li> <li>a +2 trait bonus on one kind of combat maneuver when using that specific weapon.</li> </ul> Note : You pay the standard gp cost for the weapon.",http://www.d20pfsrd.com/traits/equipment-traits/heirloom-weapon/,AAR
Improvisational Equipment,Equipment,"When using an item for anything other than its intended purpose—such as using a crowbar as a grappling hook or an old shirt to bandage a deadly wound—reduce the improvisation penalty by 2. This does not apply to improvised weapon penalties. Your GM may rule that some things are just not suitable for use in certain ways; for example, gluing a dead orc’s face to your own face won’t help you disguise yourself as an orc.",http://www.d20pfsrd.com/traits/equipment-traits/improvisational-equipment/,AAR
Power of Suggestion,Equipment,"You may make a Bluff check to make observers believe that an object in your possession is actually a different object entirely. The DC for the check is 20 for items of a similar size, shape, and color (such as a glaive and a quarterstaff). Items of a different shape, size, or color raise the DC by 5 for each dissimilar aspect, or more if the dissimilarity is extreme. This deception lasts 1 minute; if the item is still in view, the observers may recognize their error unless you make another bluff check.",http://www.d20pfsrd.com/traits/equipment-traits/power-of-suggestion/,AAR
Prehensile Whip,Equipment,"You can use a whip as if it were a rope with a grappling hook at the end. Attaching your whip is a standard action, but detaching it is a full-round action.",http://www.d20pfsrd.com/traits/equipment-traits/prehensile-whip/,AAR
Quick Learner,Equipment,"After your first attack with a weapon in which you are not proficient, the non-proficiency penalty decreases by 2 (to a –2 penalty). This effect lasts only while you have the weapon in hand; you must “relearn” the weapon each time you pick it up.",http://www.d20pfsrd.com/traits/equipment-traits/quick-learner/,AAR
Rough and Ready,Equipment,"When you use a tool of your trade (requiring at least 1 rank in the appropriate Craft or Profession skill) as a weapon, you do not take the improvised weapon penalty and instead receive a +1 trait bonus on your attack. This trait is commonly used with shovels, picks, blacksmith hammers, and other sturdy tools — lutes and brooms make terribly fragile weapons.",http://www.d20pfsrd.com/traits/equipment-traits/rough-and-ready/,AAR
Stage Magic,Equipment,"When you use an attention-getting alchemical item such as a flask of alchemist’s fire, smokestick, thunderstone, or another appropriate alchemical item (GM’s discretion) as part of a performance, you gain a +2 trait bonus on your Perform check for the duration of that performance. The item is expended without its normal effects and only serves to make your performance more impressive; for example, you could pretend to ignite yourself with alchemist’s fire as part of a Perform (comedy) check or make a dramatic appearance with a smokestick as part of a Perform (act) check, but you would not actually take fire damage or gain concealment from smoke.",http://www.d20pfsrd.com/traits/equipment-traits/stage-magic/,AAR
Stealthy Escape,Equipment,"When trying to escape manacles, rope, or other similar restraints (but not grapples or similar attacks), you may make a Sleight of Hand check instead of your Escape Artist modifier. If you free yourself, you gain a +2 trait bonus on Bluff checks to pretend that you are still bound.",http://www.d20pfsrd.com/traits/equipment-traits/stealthy-escape/,AAR
Thrown-Together Fashion,Equipment,"With a basic sewing kit or disguise kit, you can make a Disguise check to change one outfit into another outfit. The DC of this check is equal to 10 + the gp difference between costs of the outfits. The alteration takes 10 minutes per 1-gp difference in the cost of the outfits.",http://www.d20pfsrd.com/traits/equipment-traits/thrown-together-fashion/,AAR
